Year,Month,Day,Hour,Minute,Second,Spacecraft,ShockType,MagneticFieldRatio,SpeedJump(km/s),ProtonDensityRatio,ProtonTemperatureRatio,AlfvenSpeedUpstream(km/s),MagnetosonicSpeedUpstream(km/s),PlasmaBetaUpstream,ShockNormalX,ShockNormalY,ShockNormalZ,ShockTheta(degrees),ShockSpeed(km/s),MagnetosonicMachNumber
2014,7,1,12,51,28, STEREO-B,FF,1.81,39.38,1.34,1.5,62.5,79.21,1.22,0.83,-0.25,-0.49,85.65,574.7,2.94
2014,6,27,21,58,0, STEREO-A,FF,1.48,23.75,1.23,1.09,51.96,66.18,1.25,0.79,-0.51,0.35,37.92,408.62,2.52
2014,6,27,18,27,24, STEREO-B,FF,2.04,58.5,3.04,2.32,54.29,67.38,1.13,0.83,-0.26,0.5,78.89,338.38,1.31
2014,6,23,22,15,57,     Wind,FF,2.02,50.74,3.35,4.09,27.56,45.55,3.5,-0.94,0.05,-0.35,37.66,383.72,1.72
2014,6,21,7,45,15,     Wind,FR,1.55,36.22,1.61,1.64,53.22,66.4,1.12,0.88,-0.36,-0.32,17.7,314.6,1.33
2014,6,13,18,59,51, STEREO-B,FF,1.78,40.63,2.24,1.69,55.55,68.05,1,0.94,-0.28,0.19,36.06,380.81,1.02
2014,6,11,0,14,42, STEREO-A,FF,2.2,55.13,2.86,2.26,44.9,59.55,1.54,0.9,0.36,0.24,88.49,413,1.54
2014,6,10,17,10,2, STEREO-B,FF,1.51,32.38,1.82,1.27,118.88,125.46,0.24,0.23,0.74,-0.64,47.4,110.95,0.13
2014,6,9,12,50,2, STEREO-A,FF,1.75,64.13,2.69,1.66,74.66,85.32,0.62,0.94,0.33,-0.01,82.32,440.3,1.17
2014,6,9,9,30,24, STEREO-A,FF,1.39,30.38,2.19,2.17,105.15,111.53,0.26,0.95,0.28,0.12,56,348.01,0.57
2014,6,9,1,18,41, STEREO-B,FF,1.72,44.13,1.77,1.5,32.53,62.81,6.12,0.85,-0.19,-0.49,7.34,486.06,1.37
2014,6,5,10,52,4, STEREO-B,FF,1.55,25.13,3.06,3.71,51.98,63.62,1,0.77,0.63,-0.11,86.88,249.89,0.4
2014,5,13,13,45,22, STEREO-B,FF,1.98,82.63,9.11,7.27,61.15,72.07,0.79,0.98,0.09,0.2,29.51,388.6,1.26
2014,5,11,12,33,48, STEREO-A,FF,1.82,62.88,2.67,1.84,61.61,77.29,1.16,0.96,-0.29,-0.03,88.95,553.05,1.25
2014,5,10,13,26,41, STEREO-A,FF,2.01,66.13,2.97,1.94,59.74,72.31,0.93,0.89,0.45,0.06,58.22,439.05,1.33
2014,5,8,1,37,15, STEREO-B,FF,1.5,33.25,1.98,1.32,47.13,63.51,1.63,0.96,-0.23,0.16,80.71,412.5,1.08
2014,5,3,16,37,51,     Wind,FF,1.98,23.14,1.66,1.58,17.48,40.7,9.46,-0.67,-0.01,-0.74,80.85,295.39,1.99
2014,4,20,10,20,36,     Wind,FF,2.58,72.57,3.78,2.71,73.18,82.34,0.53,-0.89,-0.35,0.27,79.12,565.43,1.35
2014,4,19,17,48,24,     Wind,FF,1.59,32.18,1.69,1.73,47.69,60.45,1.22,-0.87,-0.49,0.12,59.99,496.17,1.29
2014,4,18,3,55,6,     Wind,FR,1.3,25.57,1.24,1.09,64.69,80.35,1.09,0.85,0.03,0.52,85.34,221.97,1.94
2014,4,12,2,27,41, STEREO-B,FF,1.34,135,6.64,9.78,52.68,65.73,1.11,0.89,0.01,0.47,7.29,428.54,2.21
2014,4,11,15,23,59, STEREO-A,FF,1.34,57.63,2.33,1.54,101.72,109.73,0.34,0.91,-0.4,-0.13,12.39,378.24,0.79
2014,4,9,22,20,41, STEREO-A,FR,1.51,24,1.51,1.11,58.37,72.96,1.16,-0.82,-0.29,0.49,8.78,344.64,0.81
2014,4,9,13,7,44, STEREO-A,FF,1.63,27.75,4.36,1.43,69,78.74,0.61,0.67,0.73,-0.08,87.15,286.75,0.66
2014,4,8,22,50,37, STEREO-A,FF,1.47,20.13,1.6,1.29,29.3,49.47,3.71,0.95,-0.25,0.2,69.78,342.72,0.89
2014,4,1,4,53,36, STEREO-B,FF,2.26,49.5,4.54,3.53,74.27,82.66,0.48,0.5,-0.34,-0.8,44.39,202.14,0.79
2014,3,30,21,38,0, STEREO-A,FF,2.83,181.5,6.53,3.44,72.47,85.14,0.78,1,-0.05,-0.05,39.48,597.35,2.51
2014,3,25,19,10,6,     Wind,FF,4.35,103.69,3.27,2.39,33.08,53.24,3.27,-0.75,-0.59,-0.3,53.23,453.04,2.97
2014,3,15,17,3,1, STEREO-B,FR,1.33,60.5,1.23,1.54,108.38,116.49,0.24,-0.71,-0.7,-0.07,5.18,207.93,1.99
2014,3,14,23,10,15, STEREO-B,FF,5.66,263,7.46,4.59,26.82,47.18,4.32,0.95,-0.15,-0.26,74.02,648.48,6.62
2014,3,14,16,37,40, STEREO-A,FF,1.37,72.25,2.51,1.81,159.34,168.46,0.24,0.98,-0.09,0.2,54,583.44,0.71
2014,3,12,9,14,56, STEREO-B,FF,1.23,32.63,2.38,1.31,107.17,117.13,0.4,0.75,0.31,-0.59,54.65,352.33,0.36
2014,3,11,9,37,9, STEREO-A,FF,2.86,104.38,5.76,3.05,53.22,66.89,1.21,0.87,0.05,-0.5,62.69,488.05,1.98
2014,3,8,4,41,57, STEREO-B,FF,3.46,146.5,3.37,7.09,41.05,56.1,1.74,0.99,-0.03,-0.12,59.9,537.88,3.57
2014,3,7,18,35,12, STEREO-A,FF,1.7,67.63,1.64,1.42,85.27,99.04,0.71,0.83,-0.47,0.29,83.73,605.8,2.13
2014,2,28,4,23,15, STEREO-B,FF,2.39,82.13,3.37,1.9,54.87,68.7,1.18,0.2,-0.49,-0.85,53.6,93.4,0.33
2014,2,27,20,46,44, STEREO-A,FF,1.69,25.5,2.08,1.26,63.75,75.99,0.85,0.79,0.55,0.27,67.92,391.75,1.17
2014,2,27,16,49,0,Cluster-4,FF,1.98,78.15,1.93,2.91,54.37,76.74,2,-0.84,-0.53,-0.15,86.4,434.07,2.09
2014,2,27,15,50,15,     Wind,FF,2.46,72.32,2.5,2.84,31.28,49.37,2.99,-0.82,-0.55,-0.17,81.1,437.6,2.85
2014,2,25,12,16,7, STEREO-A,FF,2.07,43.88,3.3,1.51,57.39,70.55,1.03,0.78,0.51,0.38,88.44,373.13,1.1
2014,2,22,23,6,24, STEREO-A,FF,1.74,51,2.59,2.21,46.66,63.07,1.66,0.91,-0.38,-0.15,79.48,458.39,1.3
